Year,Indicator,ISO,Country,Industry,Unit of measure,Value
2017,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.223
2018,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.375
2019,Business R&D expenditure,AUS,Australia,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.606
2005,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.393
2006,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.643
2007,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.677
2008,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.697
2009,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.698
2010,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.68
2011,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.664
2012,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.577
2013,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.602
2014,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.426
2015,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.421
2016,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.411
2017,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.389
2018,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.38
2019,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of GDP,0.377
2005,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,37.567
2006,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,55.38
2007,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,53.098
2008,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,50.824
2009,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,54.313
2010,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,53.591
2011,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,54.385
2012,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,48.09
2013,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,51.039
2014,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,39.01
2015,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,41.942
2016,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,42.176
2017,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,41.123
2018,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,40.799
2019,Business R&D expenditure,AUS,Australia,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,41.046
